01_prenom,02_genre,03_nom,04_age,05_niveau,06_attaque,07_defense,08_physique,09_technique,10_endurance,11_forme
'abla,f,TORRES,25,Adulte,97,91,79,54,43,96
abner,m,PARKER,26,Adulte,91,40,35,34,45,77
abraham,m,COLLINS,28,Adulte,89,96,83,46,84,55
abram,m,EDWARDS,18,Adulte,86,35,55,92,49,66
absalom,m,STEWART,27,Adulte,59,86,37,98,57,55
absolon,m,FLORES,32,Adulte,65,98,83,32,91,87
acacia,f,MORRIS,18,Adulte,60,49,78,95,64,48
acacius,m,NGUYEN,13,Junior,80,96,77,30,95,47
acantha,f,MURPHY,20,Adulte,94,68,47,31,69,78
ace,m,RIVERA,32,Adulte,71,47,71,75,31,30
achaicus,m,COOK,16,Junior,86,41,43,91,72,31
achan,m,ROGERS,29,Adulte,35,68,82,30,71,74
achieng,f,MORGAN,23,Adulte,96,34,35,34,82,53
achille,m,PETERSON,18,Adulte,72,34,46,40,87,69
achilles,m,COOPER,30,Adulte,74,90,39,85,83,37
achim,m,REED,20,Adulte,51,72,39,100,79,87
acke,m,BAILEY,24,Adulte,77,66,48,97,57,64
ada,f,BELL,15,Junior,38,48,72,48,67,35
adah,f,GOMEZ,31,Adulte,93,36,95,61,54,80
adair,m,KELLY,30,Adulte,100,31,42,54,67,51
adalbert,m,HOWARD,10,Junior,48,46,64,73,87,46
adalberto,m,WARD,25,Adulte,98,60,44,75,96,95
adalheid,f,COX,10,Junior,35,60,77,66,55,74
adalia,m,DIAZ,23,Adulte,100,47,99,61,36,47
ádám,m,RICHARDSON,16,Junior,89,67,41,67,88,78
adam,m,WOOD,15,Junior,63,70,81,100,66,38
adamina,f,WATSON,12,Junior,92,87,80,30,67,63
adamo,m,BROOKS,16,Junior,34,100,94,40,79,62
adán,m,BENNETT,31,Adulte,33,82,77,50,39,66
adão,m,GRAY,35,Adulte,93,90,82,57,70,69
adara,f,JAMES,25,Adulte,67,92,45,57,51,75
addie,f,REYES,21,Adulte,46,82,62,76,46,100
addison,m,CRUZ,23,Adulte,39,60,62,76,32,97
addy,f,HUGHES,32,Adulte,60,50,92,38,85,72
adel,m,PRICE,29,Adulte,59,82,87,56,37,46
adela,f,MYERS,20,Adulte,84,80,77,34,39,46
adélaïde,f,LONG,32,Adulte,59,88,74,96,87,74
adelaide,f,FOSTER,23,Adulte,86,46,38,92,94,70
adèle,f,SANDERS,11,Junior,45,78,91,43,70,58
adelheid,f,ROSS,31,Adulte,71,96,98,37,30,98
adelia,f,MORALES,31,Adulte,88,67,86,69,41,60
adelina,f,POWELL,32,Adulte,61,47,59,86,57,77
adeline,f,SULLIVAN,32,Adulte,66,71,47,59,35,71
adelle,f,RUSSELL,25,Adulte,50,36,70,63,95,60
adelmar,m,ORTIZ,30,Adulte,95,76,93,88,96,89
adem,m,JENKINS,22,Adulte,36,43,90,66,98,65
aden,m,GUTIERREZ,34,Adulte,56,55,86,71,31,32
adena,f,PERRY,11,Junior,66,50,80,76,79,68
adhara,f,BUTLER,23,Adulte,98,58,52,30,43,36
adhiambo,f,BARNES,24,Adulte,44,97,48,42,87,98
adi,f,FISHER,31,Adulte,96,41,40,41,56,78
adil,m,HENDERSON,22,Adulte,87,87,55,100,86,80
adina,f,COLEMAN,14,Junior,42,60,88,33,73,57
adino,m,SIMMONS,26,Adulte,55,42,72,66,54,88
adisa,m,PATTERSON,17,Junior,38,80,55,58,42,97
aditya,m,JORDAN,30,Adulte,99,36,49,35,57,50
adjoa,f,REYNOLDS,20,Adulte,49,68,71,93,58,41
adlai,m,HAMILTON,24,Adulte,79,41,87,99,95,46
adolf,m,GRAHAM,27,Adulte,86,32,41,90,60,34
adolfo,m,KIM,35,Adulte,89,93,74,75,89,60
adolph,m,GONZALES,34,Adulte,72,84,41,46,95,47
adolphe,m,ALEXANDER,25,Adulte,31,60,92,82,67,34
adolphus,m,RAMOS,11,Junior,66,37,86,68,30,61
adonai,m,WALLACE,30,Adulte,67,58,65,76,35,46
adonia,f,GRIFFIN,16,Junior,63,99,41,82,30,69
adonijah,m,WEST,20,Adulte,95,54,38,90,37,98
adonis,m,COLE,13,Junior,99,30,78,71,98,99
adora,f,HAYES,20,Adulte,64,86,40,67,76,94
adorinda,f,CHAVEZ,32,Adulte,69,40,33,61,70,57
adorján,m,GIBSON,31,Adulte,31,51,36,78,55,95
adrasteia,f,BRYANT,31,Adulte,53,78,33,36,43,62
adrastos,m,ELLIS,13,Junior,99,75,65,67,52,38
adria,f,STEVENS,16,Junior,96,39,70,60,61,85
adriaan,m,MURRAY,34,Adulte,34,94,38,84,79,31
adrián,m,FORD,28,Adulte,62,99,49,74,73,63
adrian,m,MARSHALL,30,Adulte,46,76,54,57,37,65
adriana,f,OWENS,17,Junior,46,44,73,36,48,61
adrianna,f,MCDONALD,20,Adulte,30,36,98,62,90,91
adrianne,f,HARRISON,27,Adulte,48,45,70,79,100,98
adriano,m,RUIZ,30,Adulte,57,86,64,84,74,41
adrien,m,KENNEDY,25,Adulte,34,97,78,91,30,52
adrienn,f,WELLS,19,Adulte,62,86,59,55,97,83
adrienne,f,ALVAREZ,27,Adulte,35,64,96,57,55,81
adwoa,f,WOODS,13,Junior,67,97,98,64,90,54
aegle,f,MENDOZA,30,Adulte,57,80,71,34,43,63
ælfwine,m,CASTILLO,20,Adulte,31,32,37,78,93,34
aella,f,OLSON,24,Adulte,94,55,87,58,92,32
ælred,m,WEBB,10,Junior,84,42,51,85,45,42
aemilia,f,WASHINGTON,22,Adulte,78,70,65,62,82,73
aeneas,m,TUCKER,13,Junior,64,33,38,77,56,80
aengus,m,FREEMAN,21,Adulte,60,87,43,50,48,87
aeolus,m,BURNS,12,Junior,84,93,47,50,89,96
aeron (1),m,HENRY,34,Adulte,71,60,45,73,51,47
aeron (2),f,VASQUEZ,12,Junior,36,90,43,35,66,92
aeronwen,f,SNYDER,15,Junior,77,33,76,32,68,62
aeronwy,f,SIMPSON,27,Adulte,70,61,65,76,39,30
æsc,m,CRAWFORD,14,Junior,87,38,78,51,30,95
aeschylus,m,JIMENEZ,34,Adulte,32,63,81,73,75,39
aeson,m,PORTER,19,Adulte,30,44,32,51,31,67
aesop,m,MASON,17,Junior,96,72,30,81,46,75
æðelbert,m,SHAW,14,Junior,45,74,40,66,71,99
æðelfrid,m,GORDON,34,Adulte,56,70,46,77,61,64
æðelmær,m,WAGNER,27,Adulte,77,70,31,77,65,56
æðelred,m,HUNTER,29,Adulte,80,96,64,92,39,48
æðelstan,m,ROMERO,27,Adulte,36,58,90,49,80,90
æðelþryð,f,HICKS,26,Adulte,79,80,57,34,39,43
afanasi,m,DIXON,23,Adulte,80,76,59,62,100,49
afanasy,m,HUNT,21,Adulte,75,79,51,72,64,72
afanen,f,PALMER,34,Adulte,41,69,39,64,78,48
afia,f,ROBERTSON,27,Adulte,89,93,55,54,36,95
afolabi,m,BLACK,19,Adulte,98,79,91,66,35,63
afon,f,HOLMES,21,Adulte,89,39,46,46,55,78
afonso,m,STONE,16,Junior,66,37,85,94,68,64
afra,f,MEYER,24,Adulte,70,77,89,37,30,72
africa,f,BOYD,27,Adulte,74,96,60,93,37,61
afua,f,MILLS,12,Junior,95,82,67,81,34,74
agafya,f,WARREN,26,Adulte,41,81,99,57,51,77
agamemnon,m,FOX,17,Junior,50,88,58,79,44,95
agape,f,ROSE,13,Junior,57,51,65,58,90,97
agapios,m,RICE,15,Junior,51,69,95,37,92,81
agata,f,MORENO,32,Adulte,77,94,62,98,81,52
agatha,f,SCHMIDT,32,Adulte,57,72,92,81,43,79
agathangelos,f,PATEL,26,Adulte,37,32,36,56,90,86
agathe,f,FERGUSON,11,Junior,50,96,91,76,57,79
agathon,m,NICHOLS,33,Adulte,95,33,80,68,61,43
agaue,f,HERRERA,21,Adulte,99,83,62,78,84,73
aggie,f,MEDINA,16,Junior,81,38,64,50,42,80
aghavni,f,RYAN,27,Adulte,93,52,35,79,33,52
ági,f,FERNANDEZ,16,Junior,64,92,72,64,72,43
aglaia,f,WEAVER,12,Junior,76,69,35,32,43,79
aglaya,f,DANIELS,35,Adulte,30,50,59,48,39,63
aglea,f,STEPHENS,22,Adulte,55,91,33,50,61,54
ágnes,f,GARDNER,30,Adulte,67,72,61,52,100,60
agnès,f,PAYNE,20,Adulte,81,41,78,57,40,55
agnes,f,KELLEY,20,Adulte,98,40,55,40,93,31
agnese,f,DUNN,12,Junior,95,59,62,69,70,66
agnessa,f,PIERCE,14,Junior,56,35,49,65,50,72
agneta,f,ARNOLD,17,Junior,93,97,77,63,67,83
agnethe,f,TRAN,11,Junior,93,55,50,76,45,64
agnieszka,f,SPENCER,23,Adulte,87,97,78,51,90,95
agostina,f,PETERS,12,Junior,65,42,68,32,99,43
agostinho,m,HAWKINS,34,Adulte,100,80,70,74,40,60
agostino,m,GRANT,24,Adulte,53,86,72,57,41,83
ágoston,m,HANSEN,13,Junior,95,43,86,42,79,32
ágota,f,CASTRO,19,Adulte,42,34,31,94,42,97
agrafena,f,HOFFMAN,23,Adulte,33,60,61,41,78,91
agrippa,m,HART,16,Junior,77,69,41,31,60,99
agrippina,f,ELLIOTT,10,Junior,44,45,100,53,56,52
agrona,f,CUNNINGHAM,31,Adulte,33,43,92,77,76,85
águeda,f,KNIGHT,30,Adulte,72,50,30,96,44,55
agustín,m,BRADLEY,10,Junior,67,78,95,50,74,55
ah,m,CARROLL,32,Adulte,74,30,72,39,75,74
ahab,m,HUDSON,26,Adulte,89,99,87,40,79,71
aharon,m,DUNCAN,32,Adulte,74,44,53,63,80,85
ahmad,m,ARMSTRONG,33,Adulte,76,64,69,94,81,98
ahmed,m,BERRY,30,Adulte,38,47,96,82,36,87
ahmet,m,ANDREWS,13,Junior,38,76,43,46,70,74
ahriman,m,JOHNSTON,12,Junior,68,73,86,59,34,95
ahtahkakoop,m,RAY,18,Adulte,45,67,94,86,32,97
ahura mazda,m,LANE,25,Adulte,38,67,83,40,85,35
ahuva,f,RILEY,30,Adulte,33,62,64,95,96,42
ai (1),f,CARPENTER,12,Junior,33,96,60,49,68,77
ai (2),f,PERKINS,21,Adulte,58,40,33,83,96,30
aias,m,AGUILAR,11,Junior,96,57,75,43,44,92
aida,f,SILVA,11,Junior,82,63,93,64,53,56
aidan,m,RICHARDS,11,Junior,33,78,95,40,100,57
aiden,m,WILLIS,11,Junior,93,39,61,97,93,96
aignéis,f,MATTHEWS,22,Adulte,66,92,37,51,52,56
aikaterine,f,CHAPMAN,20,Adulte,76,95,83,41,73,71
ailbhe,m,LAWRENCE,23,Adulte,30,39,55,35,42,50
aileas,f,GARZA,30,Adulte,55,54,81,75,92,43
aileen,f,VARGAS,31,Adulte,92,48,99,50,41,44
ailill,m,WATKINS,14,Junior,48,65,74,51,54,67
ailín,m,WHEELER,16,Junior,59,30,67,81,40,41
ailís,f,LARSON,14,Junior,91,58,67,77,50,74
ailpein,m,CARLSON,17,Junior,94,68,36,71,69,82
ailsa,f,HARPER,34,Adulte,31,44,48,88,49,100
aimé,m,GEORGE,31,Adulte,37,39,88,71,31,39
aimée,f,GREENE,16,Junior,96,90,61,58,72,34
aimo,m,BURKE,24,Adulte,59,96,50,79,100,40
aina,f,GUZMAN,31,Adulte,98,90,86,96,74,38
aindrea,m,MORRISON,29,Adulte,98,50,87,82,33,40
aindréas,m,MUNOZ,19,Adulte,89,34,36,98,39,73
aindriú,m,JACOBS,29,Adulte,96,35,73,62,71,75
áine,f,OBRIEN,32,Adulte,39,38,98,64,98,60
aingeal,f,LAWSON,22,Adulte,80,82,60,99,80,97
aino,f,FRANKLIN,15,Junior,80,71,53,39,59,91
ainsley,m,LYNCH,12,Junior,81,61,36,70,44,94
ainslie,m,BISHOP,25,Adulte,82,97,43,43,55,56
aintzane,f,CARR,15,Junior,54,87,40,98,40,64
aiolos,m,SALAZAR,33,Adulte,62,91,52,50,63,40
'aisha,f,AUSTIN,11,Junior,73,55,86,89,66,68
aislin,f,MENDEZ,20,Adulte,34,59,59,48,30,89
aisling,f,GILBERT,22,Adulte,91,67,51,49,63,84
aislinn,f,JENSEN,16,Junior,66,68,82,72,47,40
aithne,f,WILLIAMSON,20,Adulte,41,93,50,97,34,87
aitor,m,MONTGOMERY,12,Junior,45,82,74,60,94,59
ajax,m,HARVEY,33,Adulte,59,36,73,65,97,90
ajeet,m,OLIVER,18,Adulte,64,82,66,67,94,41
ajit,m,HOWELL,31,Adulte,57,70,99,43,42,48
ajith,m,DEAN,31,Adulte,72,58,76,49,59,50
akakios,m,HANSON,19,Adulte,37,94,55,56,72,54
akamu,m,WEBER,17,Junior,54,32,64,89,43,78
akanksha,f,GARRETT,26,Adulte,74,68,100,52,97,71
akeem,m,SIMS,27,Adulte,34,65,30,98,30,95
akemi,f,BURTON,24,Adulte,79,97,66,50,33,35
akhil,m,FULLER,27,Adulte,57,45,90,87,58,82
aki,m,SOTO,34,Adulte,66,66,73,47,82,40
akiko,f,MCCOY,14,Junior,56,71,60,52,87,30
akilah,f,WELCH,26,Adulte,45,37,31,43,81,99
akilina,f,CHEN,19,Adulte,69,88,35,87,79,55
akim,m,SCHULTZ,17,Junior,62,59,49,68,38,51
akinyi,f,WALTERS,15,Junior,55,94,77,93,84,95
akio,m,REID,24,Adulte,72,33,43,78,37,55
akira,m,FIELDS,23,Adulte,49,33,67,77,80,77
akiva,m,WALSH,14,Junior,73,43,52,89,98,51
akoni,m,LITTLE,33,Adulte,96,45,84,73,43,64
akosua,f,FOWLER,34,Adulte,90,72,63,40,42,59
aksel,m,BOWMAN,11,Junior,42,46,83,94,93,65
aksinya,f,DAVIDSON,10,Junior,59,94,63,100,36,46
aku,m,MAY,20,Adulte,63,60,45,93,63,42
akua,f,DAY,24,Adulte,88,66,97,72,88,40
akulina,f,SCHNEIDER,16,Junior,43,79,89,80,37,62
al,m,NEWMAN,21,Adulte,75,85,55,30,65,64
alaba,f,BREWER,32,Adulte,99,32,75,92,69,35
alain,m,LUCAS,15,Junior,92,80,90,88,69,90
alaina,f,HOLLAND,22,Adulte,73,95,55,95,33,90
alan,m,WONG,32,Adulte,38,85,97,91,82,50
alana,f,BANKS,21,Adulte,84,31,86,86,34,30
alanis,f,SANTOS,26,Adulte,42,37,93,61,96,37
alanna,f,CURTIS,16,Junior,56,74,63,41,60,32
alannah,f,PEARSON,26,Adulte,91,57,61,49,94,68
alannis,f,DELGADO,18,Adulte,75,80,76,51,99,67
alaois,m,VALDEZ,23,Adulte,77,97,75,36,44,50
alaric,m,PENA,20,Adulte,52,65,42,63,83,32
alasdair,m,RIOS,29,Adulte,92,38,39,82,47,31
alastair,m,DOUGLAS,26,Adulte,76,41,42,37,38,64
alastar,m,SANDOVAL,12,Junior,82,71,95,97,83,60
alastríona,f,BARRETT,18,Adulte,77,74,58,38,94,81
alayna,f,HOPKINS,32,Adulte,54,56,86,64,95,92
alba,f,KELLER,25,Adulte,66,87,33,70,64,56
alban,m,GUERRERO,15,Junior,36,80,35,90,59,32
alberic,m,STANLEY,12,Junior,92,56,64,97,72,81
albert,m,BATES,20,Adulte,97,95,72,83,79,74
alberta,f,ALVARADO,33,Adulte,97,33,93,58,83,54
albertina,f,BECK,23,Adulte,55,75,88,33,51,32
albertine,f,ORTEGA,15,Junior,88,31,96,78,88,55
alberto,m,WADE,35,Adulte,51,87,75,84,53,33
albina,f,ESTRADA,20,Adulte,64,80,69,94,76,86
albrecht,m,CONTRERAS,31,Adulte,69,99,44,94,44,91
alby,m,BARNETT,33,Adulte,63,82,63,66,45,67
alcaeus,m,CALDWELL,16,Junior,41,34,45,100,87,69
alcippe,f,SANTIAGO,19,Adulte,84,65,87,69,38,36
alcyone,f,LAMBERT,15,Junior,38,72,40,84,32,79
alden,m,POWERS,24,Adulte,86,82,75,76,59,43
aldo,m,CHAMBERS,26,Adulte,74,55,38,90,55,86
aldous,m,NUNEZ,21,Adulte,49,69,68,91,40,79
aldrick,m,CRAIG,25,Adulte,41,44,58,84,39,88
alea,f,LEONARD,19,Adulte,34,41,98,69,49,70
alease,f,LOWE,29,Adulte,39,77,52,82,98,86
alec,m,RHODES,30,Adulte,93,66,48,50,92,99
alechjo,m,BYRD,33,Adulte,85,75,66,70,96,52
aled,m,GREGORY,26,Adulte,34,82,77,57,72,63
aleesha,f,SHELTON,12,Junior,39,83,59,36,75,82
aleit,f,FRAZIER,33,Adulte,58,37,54,64,78,38
alejandra,f,BECKER,23,Adulte,70,99,76,69,49,46
alejandro,m,MALDONADO,11,Junior,83,95,47,45,88,57
alejo,m,FLEMING,15,Junior,96,95,87,47,43,51
aleksandar,m,VEGA,13,Junior,39,38,38,97,35,97
aleksander,m,SUTTON,22,Adulte,63,41,81,33,80,30
aleksandr,m,COHEN,28,Adulte,50,49,41,56,98,52
aleksandra,f,JENNINGS,27,Adulte,41,77,64,59,93,67
aleksandrina,f,PARKS,30,Adulte,96,55,37,52,58,56
aleksandro,m,MCDANIEL,14,Junior,90,53,83,70,69,72
aleksanteri,m,WATTS,15,Junior,88,65,90,46,66,54
aleksei,m,BARKER,14,Junior,78,66,89,66,79,38
aleksi,m,NORRIS,23,Adulte,52,56,32,91,52,39
alene,f,VAUGHN,35,Adulte,47,44,94,40,53,81
alenka,f,VAZQUEZ,23,Adulte,73,87,42,60,71,48
ales,m,HOLT,23,Adulte,86,66,80,68,87,46
alesha,f,SCHWARTZ,26,Adulte,92,39,48,44,67,53
alessa,f,STEELE,21,Adulte,43,70,53,79,56,41
alessandra,f,BENSON,17,Junior,31,100,84,85,75,72
alessandro,m,NEAL,10,Junior,41,32,68,60,52,35
alessia,f,DOMINGUEZ,16,Junior,61,97,95,68,55,36
alessio,m,HORTON,24,Adulte,36,89,51,89,85,85
aleta,f,TERRY,30,Adulte,72,42,55,50,73,80
aletha,f,WOLFE,21,Adulte,47,69,65,82,37,46
alethea,f,HALE,20,Adulte,89,73,100,67,92,73
alex,m,LYONS,30,Adulte,70,98,50,66,50,97
alexa,f,GRAVES,11,Junior,44,54,73,84,50,68
alexander,m,HAYNES,10,Junior,35,97,82,58,72,70
alexandr,m,MILES,20,Adulte,39,70,70,62,97,59
alexandra,f,PARK,31,Adulte,81,62,73,49,64,89
alexandre,m,WARNER,33,Adulte,97,33,81,42,36,61
alexandrea,f,PADILLA,34,Adulte,73,34,94,62,31,59
alexandria,f,BUSH,32,Adulte,41,34,53,62,80,84
alexandrie,f,THORNTON,21,Adulte,79,31,33,89,88,34
alexandrina,f,MCCARTHY,32,Adulte,32,53,44,62,74,38
alexandros,m,MANN,19,Adulte,49,100,73,79,86,48
alexandru,m,ZIMMERMAN,26,Adulte,30,94,60,39,41,35
alexei,m,ERICKSON,33,Adulte,46,81,86,49,54,84
alexej,m,FLETCHER,27,Adulte,95,43,53,71,63,85
alexia,f,MCKINNEY,13,Junior,51,95,35,56,39,100
alexina,f,PAGE,29,Adulte,50,66,46,41,75,38
alexis (1),m,DAWSON,21,Adulte,71,59,70,88,81,76
alexis (2),f,JOSEPH,31,Adulte,73,72,78,54,48,94
alexius,m,MARQUEZ,14,Junior,67,92,65,83,42,96
alexus,f,REEVES,26,Adulte,94,43,42,50,30,35
alf,m,KLEIN,21,Adulte,62,35,49,51,38,81
alfeo,m,ESPINOZA,25,Adulte,65,35,71,31,52,77
alfhild,f,BALDWIN,34,Adulte,70,93,88,64,97,59
alfons,m,MORAN,23,Adulte,43,77,70,35,32,59
alfonsina,f,LOVE,35,Adulte,75,76,84,46,34,32
alfonso,m,ROBBINS,31,Adulte,49,59,77,61,54,43
alfréd,m,HIGGINS,32,Adulte,33,82,30,62,67,55
alfred,m,BALL,13,Junior,33,95,89,30,43,44
alfreda,f,CORTEZ,24,Adulte,52,93,82,93,81,92
alfredo,m,LE,17,Junior,83,64,87,99,79,45
alfsigr,f,GRIFFITH,17,Junior,34,53,35,64,41,84
algar,m,BOWEN,34,Adulte,83,48,56,63,92,63
alger,m,SHARP,13,Junior,36,95,51,58,66,50
algernon,m,CUMMINGS,19,Adulte,46,53,41,32,47,73
ali,m,RAMSEY,10,Junior,47,33,46,64,49,77
alia,f,HARDY,25,Adulte,30,90,32,67,33,41
aliah,f,SWANSON,15,Junior,33,74,82,97,93,36
alice,f,BARBER,11,Junior,78,59,85,77,70,34
alicia,f,ACOSTA,31,Adulte,48,92,43,96,38,89
alida,f,LUNA,35,Adulte,53,80,80,44,50,99
aliisa,f,CHANDLER,30,Adulte,33,73,77,86,98,69
alin,m,BLAIR,12,Junior,35,75,45,59,74,60
alina (1),f,DANIEL,15,Junior,96,49,91,88,50,37
alina (2),f,CROSS,15,Junior,45,40,62,51,55,72
aline,f,SIMON,32,Adulte,41,80,94,67,69,83
alis,f,DENNIS,12,Junior,46,43,90,81,84,76
alisa,f,OCONNOR,23,Adulte,50,54,50,88,96,67
alisha,f,QUINN,32,Adulte,35,97,35,81,35,60
alisia,f,GROSS,20,Adulte,100,44,49,54,37,41
alison,f,NAVARRO,26,Adulte,75,61,37,69,52,44
alissa,f,MOSS,14,Junior,49,44,66,82,72,57
alistair,m,FITZGERALD,31,Adulte,65,47,74,90,50,81
alister,m,DOYLE,15,Junior,63,74,89,47,89,33
alisya,f,MCLAUGHLIN,16,Junior,72,38,33,89,37,54
alix,m,ROJAS,14,Junior,69,52,57,38,71,41
aliyah,f,RODGERS,20,Adulte,95,90,40,33,67,46
aliz,f,STEVENSON,12,Junior,79,46,42,47,84,83
aliza,f,SINGH,11,Junior,45,45,100,31,34,66
allan,m,YANG,23,Adulte,30,31,98,100,84,67
allannah,f,FIGUEROA,33,Adulte,57,89,67,59,31,63
allegra,f,HARMON,17,Junior,86,57,92,66,44,44
allegria,f,NEWTON,35,Adulte,57,82,92,98,74,35
allen,m,PAUL,17,Junior,73,41,76,70,37,74
allie,f,MANNING,35,Adulte,95,90,99,60,66,72
allison,f,GARNER,18,Adulte,97,45,45,77,59,60
allon,m,MCGEE,33,Adulte,34,91,53,75,82,68
ally,f,REESE,19,Adulte,38,66,30,82,92,72
allycia,f,FRANCIS,27,Adulte,73,51,83,73,65,48
allyn,m,BURGESS,21,Adulte,94,38,53,34,79,96
allyson,f,ADKINS,11,Junior,59,59,82,92,90,100
alma,f,GOODMAN,32,Adulte,55,45,38,84,31,58
almas,f,CURRY,18,Adulte,78,84,37,50,46,52
almira,f,BRADY,26,Adulte,53,34,39,91,45,31
almudena,f,CHRISTENSEN,25,Adulte,36,63,76,32,97,84
alodia,f,POTTER,22,Adulte,67,72,97,95,96,63
alois,m,WALTON,34,Adulte,34,94,68,80,68,64
aloisia,f,GOODWIN,27,Adulte,88,57,90,35,87,64
aloisio,m,MULLINS,20,Adulte,43,73,72,52,94,90
alojz,m,MOLINA,19,Adulte,79,57,71,77,74,59
alon,m,WEBSTER,28,Adulte,78,53,90,40,85,40
alondra,f,FISCHER,29,Adulte,82,44,45,34,44,62
alonso,m,CAMPOS,26,Adulte,44,95,80,66,100,49
alonzo,m,AVILA,33,Adulte,33,82,86,99,53,36
aloysius,m,SHERMAN,15,Junior,35,86,89,79,79,50
alp,m,TODD,28,Adulte,89,50,51,39,56,35
alpertti,m,CHANG,21,Adulte,88,74,85,44,39,96
alpha,m,BLAKE,26,Adulte,77,80,39,45,58,78
alphaeus,m,MALONE,19,Adulte,56,40,67,42,30,67
alphonse,m,WOLF,17,Junior,50,70,39,42,64,70
alphonsine,f,HODGES,12,Junior,63,49,87,32,68,68
alphonso,m,JUAREZ,17,Junior,66,65,46,59,59,34
alphonsus,m,GILL,29,Adulte,69,74,36,79,66,72
alphonzo,m,FARMER,12,Junior,75,31,88,89,40,87
alpin,m,HINES,15,Junior,81,65,48,62,87,68
alta,f,GALLAGHER,26,Adulte,49,44,81,39,80,36
altan,m,DURAN,10,Junior,77,77,97,76,69,74
alte,f,HUBBARD,25,Adulte,61,67,85,79,34,84
alter,m,CANNON,10,Junior,87,90,96,52,50,89
althea,f,MIRANDA,32,Adulte,62,70,50,100,34,63
alton,m,WANG,30,Adulte,57,31,38,84,85,54
aludra,f,SAUNDERS,30,Adulte,41,72,85,38,53,71
alun,m,TATE,16,Junior,89,92,66,33,76,95
alva,m,MACK,19,Adulte,44,39,90,51,34,76
alvah,m,HAMMOND,11,Junior,77,78,51,72,42,67
alvar,m,CARRILLO,19,Adulte,81,38,69,42,97,86
álvaro,m,TOWNSEND,27,Adulte,76,91,40,57,94,61
alvena,f,WISE,13,Junior,88,92,83,48,83,49
alvilda,f,INGRAM,29,Adulte,61,91,78,78,49,77
alvin,m,BARTON,15,Junior,62,88,53,63,69,72
alvina,f,MEJIA,33,Adulte,63,75,68,48,100,95
